"time","item","user"
1422345998,12768,2501
1422345760,12772,2501
1422345740,12771,2501
1422345721,12769,2501
1422345708,12768,2501
1422345702,12766,2501
1422345654,12766,2501
1422345626,12765,2501
1422345588,12763,2501
1422345561,12762,2501
1422345541,12737,2501
1422258912,12759,2501
1422258811,12760,2501
1422258790,12759,2501
1422258493,12735,2501
1422258267,12734,2501
1422258059,12732,2501
1422257862,12731,2501
1422257851,12729,2501
1422257845,12728,2501
1422257836,12731,2501
1422257818,12731,2501
1422257521,12729,2501
1422257197,12728,2501
1422256434,12726,2501
1422256084,12725,2501
1421909699,12719,27
1421653108,12757,2501
1421653097,12757,2501
1421653073,12756,2501
1421653049,12756,2501
1421653028,12756,2501
1421652509,12723,2501
1421652225,12722,2501
1421315153,12754,2501
1421314437,12753,2501
1421313836,12720,2501
1421313580,12719,2501
1421313562,12713,2501
1421313466,12702,2527
1421313449,12701,2527
1421313431,12700,2527
1421313398,12699,2527
1421313380,12698,2527
1421313352,12697,2527
1421313331,12696,2527
1421313306,12695,2527
1421313276,12694,2527
1421313253,12693,2527
1421313229,12692,2527
1421313204,12691,2527
1421313174,12690,2527
1421313138,12689,2527
1421050115,12719,2501
1421048466,12747,2501
1421047930,12714,2501
1421047913,12711,2501
1421047509,12713,2501
1421047484,12744,2501
1421047459,12710,2501
1421047436,12740,2501
1420538568,12716,2527
1420538547,12740,2527
1420538247,12704,2527
1420538224,12708,2527
1420537815,12707,2527
1420537647,12705,2527
1420537492,12744,2527
1420536985,12710,2527
1420536081,12668,2527
1420535958,12661,2527
1420535923,12688,2527
1420535903,12687,2527
1420535884,12686,2527
1420535864,12685,2527
1420535748,12684,2527
1420535427,12684,2527
1420535400,12683,2527
1420535386,12682,2527
1420535370,12681,2527
1420535342,12680,2527
1420535301,12679,2527
1420535288,12678,2527
1420535263,12677,2527
1420535145,12676,2527
1420535131,12675,2527
1420535117,12674,2527
1420535094,12673,2527
1420535057,12672,2527
1420531859,12704,2527
1420450106,12705,2529
1420449891,12704,2529
1420449848,12661,2529
1420445139,12745,2501
1420444511,12744,2501
1420444081,12711,2501
1420443416,12710,2501
1420443102,12741,2501
1420442138,12741,2501
1420442050,12740,2501
1420441636,12705,2501
1420441382,12704,2501
1418987970,12704,2
1418968727,12762,27
1418968038,12722,27
1418966769,12740,27
1418966581,12707,27
1418966563,12740,27
1418966021,12740,27
1418965892,12705,27
1418965886,12704,27
1418965045,12704,27
1418964756,12661,27
1418898093,12704,2531
1418898089,12662,2531
1418898078,12661,2531
1418887978,12671,2527
1418887914,12670,2527
1418887879,12669,2527
1418887822,12668,2527
1418757281,12662,2527
1418757276,12661,2527
1418726891,12663,2527
1418726738,12664,2527
1418726106,12705,2527
1418725716,12704,2501
1418725315,12704,2527
1418725237,12665,2527
1418725161,12667,2527
1418725109,12666,2527
1418724866,12665,2527
1418722200,12664,27
1418628112,12704,2527
1418592208,12704,2527
1418410119,12707,2527
1418410012,12704,2527
1418407565,12661,2530
1418293806,12704,2527
1418293705,12704,2527
1418293667,12664,2527
1418293637,12663,2527
1418293424,12662,27
1418293386,12661,27
1418293031,12661,2527
1418292956,12662,2527
1418292545,12661,2527
1418292495,12661,2527
1418282083,12702,2501
1418282044,12701,2501
1418246638,12745,2530
1418246632,12748,2530
1418246617,12744,2530
1418246600,12671,2530
1418246575,12670,2530
1418246563,12669,2530
1418246553,12668,2530
1418246530,12741,2530
1418246515,12740,2530
1418246491,12667,2530
1418246462,12666,2530
1418246441,12665,2530
1418246429,12704,2530
1418246416,12664,2530
1418246394,12663,2530
1418246376,12662,2530
1418246299,12661,2530
1418122786,12662,2527
1418122509,12661,2527
1418122486,12661,2527
1418122461,12661,2527
1418108844,12696,2501
1418108721,12696,2501
1418108670,12695,2501
1418108611,12700,2501
1418108576,12699,2501
