"time","item","user"
134016,1,1
134016,8,1
133440,1,1
133440,8,1
129408,1,1
124800,1,1
123648,8,1
122496,8,1
120192,10,1
119808,3,1
119424,3,1
118272,3,1
115968,5,1
114816,6,1
114624,6,1
113664,6,1
113472,10,1
113280,10,1
113088,10,1
112512,10,1
112320,5,1
111360,10,1
111168,0,1
110976,1,1
110784,1,1
110208,1,1
110016,8,1
109056,1,1
89472,6,1
73536,10,1
73344,5,1
72960,10,1
72768,5,1
72576,10,1
72384,3,1
72192,7,1
72000,10,1
71808,5,1
71616,0,1
71424,5,1
71232,5,1
71040,0,1
70848,9,1
70656,5,1
70464,0,1
70272,5,1
70080,10,1
69888,2,1
69696,5,1
69504,7,1
69312,2,1
69120,7,1
68928,5,1
68736,2,1
68544,10,1
68352,7,1
68160,2,1
67968,7,1
67776,7,1
67584,0,1
67392,7,1
67200,0,1
67008,0,1
66816,7,1
66624,3,1
66432,0,1
66240,7,1
66048,0,1
65856,2,1
65664,9,1
65280,2,1
65088,9,1
64896,2,1
64704,2,1
64512,9,1
64128,2,1
63936,9,1
63744,2,1
63552,7,1
63360,10,1
62976,7,1
62784,10,1
62592,3,1
62400,7,1
62208,10,1
61824,7,1
61632,10,1
61440,3,1
61248,7,1
61056,2,1
60672,7,1
60480,2,1
60288,7,1
60096,7,1
59904,2,1
59520,7,1
59328,2,1
59136,7,1
58944,2,1
58752,5,1
58368,2,1
58176,5,1
57984,10,1
57792,2,1
57600,5,1
57216,2,1
57024,5,1
56832,10,1
38208,10,1
38016,5,1
37632,10,1
37440,5,1
37248,10,1
37056,3,1
36864,7,1
36672,10,1
36480,5,1
36288,0,1
36096,5,1
35904,5,1
35712,0,1
35520,9,1
35328,5,1
35136,0,1
34944,5,1
34752,10,1
34560,2,1
34368,5,1
34176,7,1
33984,2,1
33792,7,1
33600,5,1
33408,2,1
33216,10,1
33024,7,1
32832,2,1
32640,7,1
32448,7,1
32256,0,1
32064,7,1
31872,0,1
31680,0,1
31488,7,1
31296,3,1
31104,0,1
30912,7,1
30720,0,1
30528,2,1
30336,5,1
30144,9,1
29952,2,1
29760,9,1
29568,2,1
29376,2,1
29184,9,1
28800,2,1
28608,9,1
28416,2,1
28224,7,1
28032,10,1
27648,7,1
27456,10,1
27264,3,1
27072,7,1
26880,10,1
26496,7,1
26304,10,1
26112,3,1
25920,7,1
25728,2,1
25344,7,1
25152,2,1
24960,7,1
24768,7,1
24576,2,1
24192,7,1
24000,2,1
23808,7,1
23616,2,1
23424,5,1
23040,2,1
22848,5,1
22656,10,1
22464,2,1
22272,5,1
21888,2,1
21696,5,1
21504,10,1
21312,2,1
21120,5,1
20736,2,1
20544,5,1
20352,10,1
20160,3,1
19968,7,1
19776,10,1
19584,5,1
19392,0,1
19200,5,1
19008,5,1
18816,0,1
18624,9,1
18432,5,1
18240,0,1
18048,5,1
17856,10,1
17664,2,1
17472,5,1
17280,7,1
17088,2,1
16896,7,1
16704,5,1
16512,2,1
16320,10,1
16128,7,1
15936,2,1
15744,7,1
15552,7,1
15360,0,1
15168,7,1
14976,0,1
14784,0,1
14592,7,1
14400,3,1
14208,0,1
14016,7,1
13824,0,1
13632,2,1
13440,5,1
13248,9,1
13056,2,1
12864,9,1
12672,2,1
12480,2,1
12288,9,1
11904,2,1
11712,9,1
11520,2,1
11328,7,1
11136,10,1
10752,7,1
10560,10,1
10368,3,1
10176,7,1
9984,10,1
9600,7,1
9408,10,1
9216,3,1
9024,7,1
8832,2,1
8448,7,1
8256,2,1
8064,7,1
7872,7,1
7680,2,1
7296,7,1
7104,2,1
6912,7,1
6720,2,1
6528,5,1
6144,2,1
5952,5,1
5760,10,1
5568,2,1
5376,5,1
4992,2,1
4800,5,1
4608,10,1
4416,2,1
4224,5,1
3840,2,1
3648,5,1
3456,10,1
3264,2,1
3072,5,1
2688,2,1
2496,5,1
2304,10,1
2112,2,1
1920,5,1
1536,2,1
1344,5,1
1152,10,1
960,2,1
768,5,1
384,2,1
192,5,1
0,10,1
