"time","item","user"
124800,1,0
124608,1,0
124224,10,0
123072,8,0
122496,8,0
122304,1,0
121920,5,0
120768,8,0
120576,10,0
120384,0,0
120192,1,0
120000,0,0
119808,10,0
119616,8,0
119424,6,0
119232,5,0
118848,3,0
118272,8,0
118080,8,0
117696,5,0
115968,5,0
115776,6,0
115584,8,0
115392,10,0
115200,8,0
115008,6,0
114240,10,0
113664,10,0
113472,8,0
113376,1,0
113088,3,0
112896,1,0
112704,0,0
111936,1,0
111360,1,0
111168,10,0
110976,1,0
110784,3,0
110592,1,0
110400,0,0
109632,1,0
109056,1,0
107328,3,0
106752,8,0
106176,7,0
105600,5,0
105024,5,0
104448,5,0
104064,1,0
103680,3,0
103296,0,0
102720,0,0
102144,0,0
101952,1,0
101760,3,0
101376,5,0
100992,1,0
100416,1,0
99840,1,0
99072,1,0
98688,0,0
98496,10,0
98112,8,0
90432,10,0
90240,8,0
90048,6,0
89856,1,0
89664,10,0
72576,10,0
72384,10,0
72000,7,0
70848,5,0
70272,5,0
70080,10,0
69696,2,0
68544,5,0
68352,7,0
68160,9,0
67968,10,0
67776,9,0
67584,7,0
67392,5,0
67200,3,0
67008,2,0
66624,0,0
66048,5,0
65856,5,0
65472,2,0
63744,2,0
63552,3,0
63360,5,0
63168,7,0
62976,5,0
62784,3,0
62016,7,0
61440,7,0
61248,5,0
61056,10,0
60864,0,0
60672,10,0
60480,9,0
59712,10,0
59136,10,0
58944,7,0
58752,10,0
58560,0,0
58368,10,0
58176,9,0
57408,10,0
56832,10,0
37248,10,0
37056,10,0
36672,7,0
35520,5,0
34944,5,0
34752,10,0
34368,2,0
33216,5,0
33024,7,0
32832,9,0
32640,10,0
32448,9,0
32256,7,0
32064,5,0
31872,3,0
31680,2,0
31296,0,0
30720,5,0
30528,5,0
30144,2,0
28416,2,0
28224,3,0
28032,5,0
27840,7,0
27648,5,0
27456,3,0
26688,7,0
26112,7,0
25920,5,0
25728,10,0
25536,0,0
25344,10,0
25152,9,0
24384,10,0
23808,10,0
23616,7,0
23424,10,0
23232,0,0
23040,10,0
22848,9,0
22080,10,0
21504,10,0
20352,10,0
20160,10,0
19776,7,0
19584,7,0
18048,5,0
17856,10,0
17472,2,0
16320,5,0
16128,7,0
15936,9,0
15744,10,0
15552,9,0
15360,7,0
15168,5,0
14976,3,0
14784,2,0
14400,0,0
13824,5,0
13632,5,0
13248,2,0
11520,2,0
11328,3,0
11136,5,0
10944,7,0
10752,5,0
10560,3,0
9792,7,0
9216,7,0
9024,5,0
8832,10,0
8640,0,0
8448,10,0
8256,9,0
7488,10,0
6912,10,0
6720,7,0
6528,10,0
6336,0,0
6144,10,0
5952,9,0
5184,10,0
4608,10,0
