Beat	0	200
Note	 0	 188	46
Note	 192	 764	53
Note	 384	 764	62
Note	 768	 956	53
Note	 960	 1148	62
Note	 1152	 1340	46
Note	 1344	 1532	53
Note	 1536	 1916	62
Note	 1920	 2108	53
Note	 2112	 2300	62
Note	 2304	 2492	46
Note	 2496	 2684	53
Note	 2688	 3068	62
Note	 3072	 3260	53
Note	 3264	 3452	62
Note	 3456	 3644	46
Note	 3648	 3836	53
Note	 3840	 4220	62
Note	 4224	 4412	53
Note	 4416	 4604	62
Note	 4608	 4796	46
Note	 4800	 4988	53
Note	 4992	 5372	62
Note	 5376	 5564	53
Note	 5568	 5756	62
Note	 5760	 5948	46
Note	 5952	 6140	53
Note	 6144	 6524	62
Note	 6528	 6716	53
Note	 6720	 6908	62
Note	 6912	 7100	43
Note	 7104	 7292	50
Note	 7296	 7676	55
Note	 7680	 7868	50
Note	 7872	 8060	55
Note	 8064	 8252	43
Note	 8256	 8444	50
Note	 8448	 8828	55
Note	 8832	 9020	50
Note	 9024	 9212	55
Note	 9216	 9404	39
Note	 9408	 9596	46
Note	 9600	 9980	55
Note	 9984	 10172	46
Note	 10176	 10364	55
Note	 10368	 10556	39
Note	 10560	 10748	46
Note	 10752	 11132	55
Note	 11136	 11324	46
Note	 11328	 11516	55
Note	 11520	 11708	38
Note	 11712	 11900	45
Note	 11904	 12284	50
Note	 12288	 12476	45
Note	 12480	 12668	50
Note	 12672	 12860	38
Note	 12864	 13052	45
Note	 13056	 13244	50
Note	 13248	 13436	57
Note	 13440	 13628	53
Note	 13632	 13820	50
Note	 13824	 14012	36
Note	 14016	 14204	43
Note	 14208	 14396	48
Note	 14400	 14588	51
Note	 14592	 14780	55
Note	 14784	 14972	60
Note	 14976	 15164	48
Note	 15168	 15356	55
Note	 15360	 15548	60
Note	 15552	 15740	55
Note	 15744	 15932	43
Note	 15936	 16124	50
Note	 16128	 16316	55
Note	 16320	 16508	58
Note	 16512	 16700	62
Note	 16704	 16892	65
Note	 16896	 17084	43
Note	 17088	 17276	50
Note	 17280	 17468	55
Note	 17472	 17660	65
Note	 17664	 17852	62
Note	 17856	 18044	58
Note	 18048	 18236	41
Note	 18240	 18428	48
Note	 18432	 18620	53
Note	 18624	 18812	57
Note	 18816	 19004	60
Note	 19008	 19196	65
Note	 19200	 19388	41
Note	 19392	 19580	48
Note	 19584	 19772	53
Note	 19776	 19964	58
Note	 19968	 20156	55
Note	 20160	 20348	51
Note	 20352	 20540	46
Note	 20544	 20732	53
Note	 20736	 21116	62
Note	 21120	 21308	53
Note	 21312	 21500	62
Note	 21504	 21692	46
Note	 21696	 21884	53
Note	 21888	 22268	62
Note	 22272	 22460	53
Note	 22464	 22652	62
Note	 22656	 22844	46
Note	 22848	 23036	53
Note	 23040	 23420	62
Note	 23424	 23612	53
Note	 23616	 23804	62
Note	 23808	 23996	43
Note	 24000	 24188	50
Note	 24192	 24572	55
Note	 24576	 24764	50
Note	 24768	 24956	55
Note	 24960	 25148	43
Note	 25152	 25340	50
Note	 25344	 25724	55
Note	 25728	 25916	50
Note	 25920	 26108	55
Note	 26112	 26300	39
Note	 26304	 26492	46
Note	 26496	 26876	55
Note	 26880	 27068	46
Note	 27072	 27260	55
Note	 27264	 27452	39
Note	 27456	 27644	46
Note	 27648	 28028	55
Note	 28032	 28220	46
