Beat	0	200
Note	 4608	 4988	70
Note	 5184	 5948	70
Note	 5952	 6140	69
Note	 6144	 6332	70
Note	 6336	 6524	72
Note	 6528	 6716	70
Note	 6720	 6908	67
Note	 6912	 7292	70
Note	 7488	 8252	70
Note	 8256	 8444	69
Note	 8448	 8636	70
Note	 8640	 8828	72
Note	 8832	 9020	70
Note	 9024	 9212	65
Note	 9216	 9596	67
Note	 9792	 10556	67
Note	 10560	 10748	63
Note	 10752	 10940	65
Note	 10944	 11132	67
Note	 11136	 11324	65
Note	 11328	 11516	63
Note	 11520	 13244	62
Note	 13248	 13628	62
Note	 13632	 13820	65
Note	 13824	 14204	65
Note	 14400	 14780	60
Note	 14784	 14972	62
Note	 14976	 15164	63
Note	 15168	 15356	65
Note	 15360	 15548	67
Note	 15552	 15740	69
Note	 15744	 15932	70
Note	 15936	 16124	69
Note	 16128	 16316	67
Note	 16320	 17276	65
Note	 17472	 17852	62
Note	 17856	 18044	58
Note	 18048	 19580	65
Note	 19584	 19772	55
Note	 19776	 20156	55
Note	 20160	 20348	58
Note	 20352	 21116	58
Note	 21504	 21884	70
Note	 22080	 22844	70
Note	 22848	 23036	69
Note	 23040	 23228	70
Note	 23232	 23420	72
Note	 23424	 23612	70
Note	 23616	 23804	67
Note	 23808	 24188	70
Note	 24384	 25148	70
Note	 25152	 25340	69
Note	 25344	 25532	70
Note	 25536	 25724	72
Note	 25728	 25916	70
Note	 25920	 26108	65
Note	 26112	 26492	67
Note	 26688	 27452	67
Note	 27456	 27644	63
Note	 27648	 27836	65
Note	 27840	 28028	67
Note	 28032	 28220	65
Note	 28224	 28412	63
Note	 28416	 30140	62
Note	 30144	 30524	62
Note	 30528	 30716	65
Note	 30720	 31100	65
Note	 31296	 31676	60
Note	 31680	 31868	62
Note	 31872	 32060	63
Note	 32064	 32252	65
Note	 32256	 32444	67
Note	 32448	 32636	69
Note	 32640	 32828	70
Note	 32832	 33020	69
Note	 33024	 33212	67
Note	 33216	 33980	65
Note	 34368	 34748	62
Note	 34752	 34940	58
Note	 34944	 35324	65
Note	 35520	 36284	65
Note	 36672	 37052	55
Note	 37056	 37244	58
Note	 37248	 38012	58
Note	 56832	 57404	70
Note	 57408	 58172	70
Note	 58176	 58364	69
Note	 58368	 58556	70
Note	 58560	 58748	72
Note	 58752	 58940	70
Note	 58944	 59132	67
Note	 59136	 59708	70
Note	 59712	 60476	70
Note	 60480	 60668	69
Note	 60672	 60860	70
Note	 60864	 61052	72
Note	 61056	 61244	70
Note	 61248	 61436	65
Note	 61440	 62012	67
Note	 62016	 62780	67
Note	 62784	 62972	63
Note	 62976	 63164	65
Note	 63168	 63356	67
Note	 63360	 63548	65
Note	 63552	 63740	63
Note	 63744	 65852	62
Note	 65472	 65852	62
Note	 65856	 66044	65
Note	 66048	 66620	65
Note	 66624	 67004	60
Note	 67008	 67196	62
Note	 67200	 67388	63
Note	 67392	 67580	65
Note	 67584	 67772	67
Note	 67776	 67964	69
Note	 67968	 68156	70
Note	 68160	 68348	69
Note	 68352	 68540	67
Note	 68544	 69308	65
Note	 69696	 70076	62
Note	 70080	 70268	58
Note	 70272	 70844	65
Note	 70848	 71996	65
Note	 72000	 72380	55
Note	 72384	 72572	58
Note	 72576	 73724	58
Note	 89664	 89852	58
Note	 89856	 90044	61
Note	 90048	 90236	66
Note	 90240	 90428	68
Note	 90432	 90620	70
Note	 98112	 98492	56
Note	 98496	 98684	58
Note	 98688	 99068	60
Note	 99072	 99836	61
Note	 99840	 100412	73
Note	 100416	 100988	73
Note	 100992	 101372	73
Note	 101376	 101756	77
Note	 101760	 101948	75
Note	 101952	 102140	73
Note	 102144	 102524	72
Note	 102720	 103100	72
Note	 103296	 103676	72
Note	 103680	 104060	75
Note	 104064	 104444	73
Note	 104448	 105020	77
Note	 105024	 105596	77
Note	 105600	 106172	77
Note	 106176	 106748	79
Note	 106752	 107324	80
Note	 107328	 107900	75
Note	 109056	 109628	73
Note	 109632	 110396	73
Note	 110400	 110588	72
Note	 110592	 110780	73
Note	 110784	 110972	75
Note	 110976	 111164	73
Note	 111168	 111356	70
Note	 111360	 111932	73
Note	 111936	 112700	73
Note	 112704	 112892	72
Note	 112896	 113084	73
Note	 113088	 113372	75
Note	 113376	 113468	73
Note	 113472	 113660	68
Note	 113664	 114236	70
Note	 114240	 115004	70
Note	 115008	 115196	66
Note	 115200	 115388	68
Note	 115392	 115580	70
Note	 115584	 115772	68
Note	 115776	 115964	66
Note	 115968	 117500	65
Note	 117696	 118076	65
Note	 118080	 118268	68
Note	 118272	 118844	68
Note	 118848	 119228	63
Note	 119232	 119420	65
Note	 119424	 119612	66
Note	 119616	 119804	68
Note	 119808	 119996	70
Note	 120000	 120188	72
Note	 120192	 120380	73
Note	 120384	 120572	72
Note	 120576	 120764	70
Note	 120768	 121916	68
Note	 121920	 122300	65
Note	 122304	 122492	61
Note	 122496	 123068	68
Note	 123072	 124220	68
Note	 124224	 124796	70
Note	 124608	 124796	73
Note	 124800	 128636	73
Beat	 128636	200
