"time","item","user"
195840,8, 1
195072,2, 1
193536,3, 1
192768,9, 1
192000,10, 1
191808,9, 1
191616,2, 1
190464,7, 1
189696,8, 1
188928,2, 1
187392,3, 1
186624,9, 1
185856,10, 1
185664,9, 1
185472,2, 1
184320,7, 1
183936,10, 2
183936,10, 2
183552,8, 1
183168,9, 2
183168,9, 2
182784,2, 1
182400,7, 2
182400,7, 2
182016,2, 2
182016,2, 2
181632,10, 2
181632,10, 2
181248,3, 1
181248,7, 2
181248,7, 2
180864,10, 2
180864,10, 2
180480,9, 1
180096,9, 2
180096,9, 2
179712,10, 1
179520,9, 1
179328,2, 1
179328,7, 2
179328,7, 2
178944,2, 2
178944,2, 2
178560,10, 2
178560,10, 2
178176,7, 1
178176,7, 2
178176,7, 2
177792,10, 2
177792,10, 2
177408,8, 1
177024,9, 2
177024,9, 2
176640,2, 1
176256,7, 2
176256,7, 2
175872,2, 2
175872,2, 2
175488,10, 2
175488,10, 2
175104,3, 1
175104,7, 2
175104,7, 2
174720,10, 2
174720,10, 2
174336,9, 1
173952,9, 2
173952,9, 2
173568,10, 1
173376,9, 1
173184,2, 1
173184,7, 2
173184,7, 2
172800,2, 2
172800,2, 2
172416,10, 2
172416,10, 2
172032,7, 1
172032,7, 2
172032,7, 2
171648,10, 2
171648,10, 2
171264,8, 1
170880,9, 2
170880,9, 2
170496,2, 1
170112,7, 2
170112,7, 2
169728,2, 2
169728,2, 2
169344,10, 2
169344,10, 2
168960,3, 1
168960,7, 2
168960,7, 2
168576,10, 2
168576,10, 2
168192,9, 1
167808,9, 2
167808,9, 2
167424,10, 1
167232,9, 1
167040,2, 1
167040,7, 2
167040,7, 2
166656,2, 2
166656,2, 2
166272,10, 2
166272,10, 2
165888,7, 1
165888,7, 2
165888,7, 2
165504,10, 2
165504,10, 2
165120,8, 1
164736,9, 2
164736,9, 2
164352,2, 1
163968,7, 2
163968,7, 2
163584,2, 2
163584,2, 2
163200,10, 2
163200,10, 2
162816,3, 1
162816,7, 2
162816,7, 2
162432,10, 2
162432,10, 2
162048,9, 1
161664,9, 2
161664,9, 2
161280,10, 1
161088,9, 1
160896,2, 1
160896,7, 2
