"time","item","user"
122880,10,1
122784,5,1
122688,9,1
122592,5,1
122304,5,1
122112,5,1
122016,3,1
121920,3,1
121344,3,1
121248,5,1
121152,7,1
120576,0,1
120480,10,1
120384,10,1
119808,10,1
119712,5,1
119616,9,1
119232,5,1
119040,5,1
118944,3,1
118848,3,1
118272,3,1
118176,2,1
118080,2,1
117504,0,1
117408,10,1
117312,10,1
116736,10,1
116640,5,1
116544,9,1
116448,5,1
116160,5,1
115968,5,1
115872,3,1
115776,3,1
115200,3,1
115104,5,1
115008,7,1
114432,0,1
114336,10,1
114240,10,1
113664,10,1
113568,5,1
113472,9,1
113376,5,1
113088,5,1
112896,5,1
112800,3,1
112704,3,1
112128,3,1
112032,2,1
111936,2,1
111552,0,1
111360,0,1
111264,10,1
111168,10,1
110592,10,1
110496,5,1
110400,9,1
110304,5,1
110016,5,1
109824,5,1
109728,3,1
109632,3,1
109056,3,1
108960,5,1
108864,7,1
108288,0,1
108192,10,1
108096,10,1
107520,10,1
107424,5,1
107328,9,1
106944,5,1
106752,5,1
106656,3,1
106560,3,1
105984,3,1
105888,2,1
105792,2,1
105216,0,1
105120,10,1
105024,10,1
104448,10,1
104352,5,1
104256,9,1
104160,5,1
103872,5,1
103680,5,1
103584,3,1
103488,3,1
102912,3,1
102816,5,1
102720,7,1
102144,0,1
102048,10,1
101952,10,1
101376,10,1
101280,5,1
101184,9,1
101088,5,1
100800,5,1
100608,5,1
100512,3,1
100416,3,1
99840,3,1
99744,2,1
99648,2,1
99072,0,1
98880,10,1
98304,10,1
96768,5,1
96576,0,1
96192,5,1
96000,5,1
95904,5,1
95232,5,1
94656,5,1
94464,5,1
94368,5,1
93696,5,1
93120,5,1
92928,5,1
92832,5,1
92160,5,1
91968,0,1
91584,0,1
91392,0,1
91296,0,1
90624,0,1
90048,0,1
89856,0,1
89760,0,1
89088,0,1
88512,3,1
88320,3,1
88224,3,1
87552,3,1
86976,10,1
86784,10,1
86688,10,1
86016,10,1
85440,3,1
85248,3,1
85152,3,1
84480,3,1
83904,0,1
83712,0,1
83616,0,1
82944,0,1
82368,3,1
82176,3,1
82080,3,1
81408,3,1
80448,5,1
80352,5,1
80256,7,1
80064,9,1
79872,5,1
79296,5,1
79104,5,1
79008,3,1
78144,3,1
77952,5,1
77760,7,1
77568,0,1
76800,10,1
76608,5,1
76320,5,1
76224,5,1
76032,5,1
75936,3,1
75840,3,1
75264,3,1
75168,2,1
74496,0,1
74400,10,1
73728,10,1
73536,5,1
73152,5,1
72960,5,1
72864,3,1
72768,3,1
72192,3,1
72096,2,1
72000,2,1
71424,0,1
71232,10,1
70656,10,1
70464,5,1
70368,5,1
70176,5,1
70080,5,1
69888,5,1
69792,3,1
69696,3,1
69120,3,1
69024,2,1
68352,0,1
68256,10,1
68160,10,1
67584,10,1
67392,5,1
67008,5,1
66816,5,1
66720,3,1
66624,3,1
66048,3,1
65952,2,1
65280,0,1
65184,10,1
65088,10,1
64512,10,1
64320,5,1
63936,5,1
63744,5,1
63648,3,1
63552,3,1
62976,3,1
62880,2,1
62208,0,1
62112,10,1
62016,0,1
61440,10,1
61344,5,1
61056,5,1
60864,5,1
60672,5,1
60576,3,1
60480,3,1
59904,3,1
59808,2,1
59136,0,1
59040,10,1
58944,10,1
58368,10,1
57792,5,1
57600,5,1
57504,3,1
57408,3,1
56832,3,1
56736,2,1
56064,0,1
55968,10,1
55872,10,1
55296,10,1
55104,0,1
55008,5,1
54816,5,1
54528,5,1
54432,3,1
54336,3,1
53760,3,1
53664,5,1
53568,7,1
52992,0,1
52896,10,1
52800,10,1
52224,10,1
52128,5,1
52032,9,1
51936,5,1
51456,5,1
51360,3,1
51264,3,1
50688,3,1
50592,2,1
50496,2,1
49920,0,1
49824,10,1
49152,10,1
48384,5,1
48288,5,1
47616,5,1
47040,5,1
46848,5,1
46752,5,1
46080,5,1
45888,0,1
45504,0,1
45312,0,1
45216,0,1
44544,0,1
43968,0,1
43776,0,1
43680,0,1
43008,0,1
42432,3,1
42240,3,1
42144,3,1
41472,3,1
40896,10,1
40704,10,1
40608,10,1
39936,10,1
39360,3,1
39168,3,1
39072,3,1
38400,3,1
37824,0,1
37632,0,1
37536,0,1
36864,0,1
36288,3,1
36096,3,1
36000,3,1
35328,3,1
35136,0,1
35040,5,1
34848,9,1
34752,7,1
34368,5,1
34176,5,1
33984,7,1
33216,5,1
33024,5,1
32928,3,1
32064,3,1
31872,5,1
31680,7,1
31488,0,1
30720,10,1
30528,5,1
30144,5,1
29952,5,1
29856,3,1
29760,3,1
29184,3,1
29088,2,1
28416,0,1
27648,10,1
27456,5,1
27072,5,1
26880,5,1
26784,3,1
26688,3,1
26112,3,1
26016,2,1
25344,0,1
24576,10,1
24384,5,1
24000,5,1
23808,5,1
23712,3,1
23616,3,1
23040,3,1
22272,0,1
21504,10,1
21312,5,1
20928,5,1
20736,5,1
20640,3,1
20544,3,1
19968,3,1
19200,0,1
18432,10,1
18240,5,1
17856,5,1
17664,5,1
17568,3,1
17472,3,1
16896,3,1
16800,2,1
16128,0,1
15360,10,1
15168,5,1
14784,5,1
14592,5,1
14496,3,1
14400,3,1
13824,3,1
13056,0,1
12288,10,1
12096,5,1
11712,5,1
11520,5,1
11424,3,1
11328,3,1
10752,3,1
10656,2,1
9984,0,1
9216,10,1
